Doculect,l_0,c_tnsmood,c_aspect,c_Aper,c_Anum,c_Uper,c_Unum,c_plur,wordform,f_p1,f_p2,f_p3,f_stem,f_s1,f_s2,f_s3
Ngkolmpu,TOUCH,pres,dur,2,sg,3,nsg,pl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,2,nsg,1,sg,npl,wpinoy,,w,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,nsg,1,sg,pl,wpinoy,,w,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,nsg,1,nsg,npl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,nsg,1,nsg,pl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,nsg,3,nsg,npl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,2,nsg,3,nsg,pl,ypinoy,,y,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,sg,1,sg,npl,wpino,,w,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,1,sg,pl,wpino,,w,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,1,nsg,npl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,1,nsg,pl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,2,sg,npl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,2,sg,pl,npino,,n,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,2,nsg,npl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,2,nsg,pl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,3,nsg,npl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,sg,3,nsg,pl,ypino,,y,,pino,,,
Ngkolmpu,TOUCH,pres,dur,3,nsg,1,sg,npl,wpinoy,,w,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,nsg,1,sg,pl,wpinoy,,w,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,nsg,1,nsg,npl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,nsg,1,nsg,pl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,nsg,2,sg,npl,npinoy,,n,,pino,,,y
Ngkolmpu,TOUCH,pres,dur,3,nsg,2,sg,pl,npinoy,,n,,pino,,,y
